mu_DM,sigma_DM,alpha,A
1.259999999999999964e+01,2.700000000000000178e-01,1.538461538461538547e-01,3.135078754882487218e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.564102564102564097e-01,3.161045917209789557e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.589743589743589647e-01,3.186940969018013714e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.615384615384615474e-01,3.212802687398351065e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.641025641025641024e-01,3.238886679192471085e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.666666666666666852e-01,3.265480607654993150e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.692307692307692402e-01,3.292773130039354790e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.717948717948717952e-01,3.320644699450252091e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.743589743589743501e-01,3.348738408118868470e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.769230769230769329e-01,3.376816622918044519e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.794871794871794879e-01,3.404845761256608316e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.820512820512820706e-01,3.432756870263874660e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.846153846153846256e-01,3.460545745567601195e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.871794871794871806e-01,3.488456935610018128e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.897435897435897356e-01,3.516726095760374982e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.923076923076923184e-01,3.545389933459204723e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.948717948717948734e-01,3.574238216900746945e+00
1.259999999999999964e+01,2.700000000000000178e-01,1.974358974358974561e-01,3.602975277496760054e+00
1.259999999999999964e+01,2.700000000000000178e-01,2.000000000000000111e-01,3.631559965369247411e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.000000000000000056e-01,2.637245885449061689e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.025641025641025744e-01,2.659353097155981782e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.051282051282051294e-01,2.681390578321843243e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.076923076923076983e-01,2.703455956001628024e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.102564102564102672e-01,2.725773792405325580e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.128205128205128221e-01,2.748439945573722731e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.153846153846153910e-01,2.771523809768229984e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.179487179487179460e-01,2.795268439475068423e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.205128205128205149e-01,2.819766933024441258e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.230769230769230838e-01,2.844679941139743651e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.256410256410256387e-01,2.869687418914571797e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.282051282051282215e-01,2.894721830480357028e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.307692307692307765e-01,2.919582071196708206e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.333333333333333315e-01,2.943873822739926815e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.358974358974359142e-01,2.967606929343654887e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.384615384615384692e-01,2.991207639583509437e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.410256410256410242e-01,3.015033042569459809e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.435897435897435792e-01,3.039215229170253885e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.461538461538461620e-01,3.063756249379781416e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.487179487179487170e-01,3.088696453818332355e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.512820512820512997e-01,3.114102881263447031e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.538461538461538547e-01,3.139933188237975070e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.564102564102564097e-01,3.165950199817713084e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.589743589743589647e-01,3.191904185913793768e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.615384615384615474e-01,3.217826381615374487e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.641025641025641024e-01,3.243962375204235915e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.666666666666666852e-01,3.270599570013625002e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.692307692307692402e-01,3.297928120169984378e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.717948717948717952e-01,3.325826432571274083e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.743589743589743501e-01,3.353938562148055524e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.769230769230769329e-01,3.382030908747800435e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.794871794871794879e-01,3.410073967241826765e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.820512820512820706e-01,3.438004762775936918e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.846153846153846256e-01,3.465825079893500416e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.871794871794871806e-01,3.493781056867673041e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.897435897435897356e-01,3.522104057269521693e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.923076923076923184e-01,3.550823251692039051e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.948717948717948734e-01,3.579725026224726658e+00
1.259999999999999964e+01,2.768965517241379626e-01,1.974358974358974561e-01,3.608515056715923652e+00
1.259999999999999964e+01,2.768965517241379626e-01,2.000000000000000111e-01,3.637154055642550343e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.000000000000000056e-01,2.641676307247585065e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.025641025641025744e-01,2.663812776501245594e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.051282051282051294e-01,2.685885099612882687e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.076923076923076983e-01,2.707992290967535354e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.102564102564102672e-01,2.730356148075723688e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.128205128205128221e-01,2.753067311788463201e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.153846153846153910e-01,2.776191803502204181e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.179487179487179460e-01,2.799974857015615104e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.205128205128205149e-01,2.824512244827903640e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.230769230769230838e-01,2.849461377715898358e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.256410256410256387e-01,2.874495594429819167e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.282051282051282215e-01,2.899548088390930367e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.307692307692307765e-01,2.924424905303491862e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.333333333333333315e-01,2.948737447803063016e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.358974358974359142e-01,2.972498254753982216e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.384615384615384692e-01,2.996135375690355040e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.410256410256410242e-01,3.020003832980391323e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.435897435897435792e-01,3.044231171951080839e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.461538461538461620e-01,3.068818166529859504e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.487179487179487170e-01,3.093804714610794981e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.512820512820512997e-01,3.119256661956269827e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.538461538461538547e-01,3.145132950118291415e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.564102564102564097e-01,3.171201072678914823e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.589743589743589647e-01,3.197215051969677813e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.615384615384615474e-01,3.223199109704838250e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.641025641025641024e-01,3.249389251778304732e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.666666666666666852e-01,3.276072527451384442e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.692307692307692402e-01,3.303440234815169241e+00
1.259999999999999964e+01,2.837931034482758519e-01,1.717948717948717952e-01,3.331368442262928831e+00
